post_id,post_date,post_caption,clean_caption,post_likes,comments,clean_comments
3392550922360846983,2024-06-17 17:00:11,"أجواء الصيف للصغار! 🌞👦 اكتشفوا تشكيلة قمصان الأولاد الصيفية مع طبعات مرحة وحيوية، مثالية للأيام المشمسة والمغامرات في الهواء الطلق.

 Summer vibes for the little ones! 🌞👦 Dive into our boys' summer shirts with fun and vibrant prints, perfect for sunny days and outdoor explorations.

#MyMaxStyle #KidsFashion #SummerShirts #BeachLife #TravelPrints #FashionForKids #TrendyTots #AdventureTime","أجواء الصيف للصغار! 🌞👦 اكتشفوا تشكيلة قمصان الأولاد الصيفية مع طبعات مرحة وحيوية، مثالية للأيام المشمسة والمغامرات في الهواء الطلق.   Summer vibes for the little ones! 🌞👦 Dive into our boys summer shirts with fun and vibrant prints, perfect for sunny days and outdoor explorations.         ",66,['🍂معقولة بدينا سنة جديدة وباقي ماتعرف انجلش ؟! 🤯🙀تابع حسابي ولا تتردد'],['🍂معقولة بدينا سنة جديدة وباقي ماتعرف انجلش ؟! 🤯🙀تابع حسابي ولا تتردد']
3392460311695545365,2024-06-17 14:00:11,"أميرتنا الصغيرات مستعدات لكل مغامرات الصيف بزي مميز. 🍓🌞

Our little fashionistas’  ready for all the summer adventures in this strawberry-themed outfit. 🍓🌞

#MyMaxStyle #KidsFashion #SummerVibes #StrawberryStyle #FashionForKids",أميرتنا الصغيرات مستعدات لكل مغامرات الصيف بزي مميز. 🍓🌞  Our little fashionistas’  ready for all the summer adventures in this strawberry-themed outfit. 🍓🌞      ,325,"['❤️❤️❤️', 'Luluuuuu', '😍😍😍😍', 'Lolo ❤️❤️❤️', '\u200f\u200f\u200fللذين عليهم ديون كبيره للبنوك والمؤسسات وللغير قادرين على مصاريف العلاجات ومنح دراسية للطلبه الجامعيين والمحتاجين لبناء البيوت والزواج دمتم بخير وحفظكم الله شعبآ وارضآ وأدام الله علينا وعليكم الامن والامان🌹', '🔥🔥🔥🔥🔥🔥🔥', '💜💓💗']","['❤️❤️❤️', 'Luluuuuu', '😍😍😍😍', 'Lolo ❤️❤️❤️', '\u200f\u200f\u200fللذين عليهم ديون كبيره للبنوك والمؤسسات وللغير قادرين على مصاريف العلاجات ومنح دراسية للطلبه الجامعيين والمحتاجين لبناء البيوت والزواج دمتم بخير وحفظكم الله شعبآ وارضآ وأدام الله علينا وعليكم الامن والامان🌹', '🔥🔥🔥🔥🔥🔥🔥', '💜💓💗']"
3391871445385922190,2024-06-16 18:30:22,"الجو مشمس، والابتسامات مشرقة، والأناقة حاضرة! اكتشفوا مجموعتنا الممتعة والأنيقة للأطفال مع @meera و @ayla. 🌞👒

Hello, summer! Explore our fun and stylish kids' collection with @meerastars and @aylaafahmii 🌞👒
#MyMaxStyle #SunnyDays #KidsFashion #HappySummer","الجو مشمس، والابتسامات مشرقة، والأناقة حاضرة! اكتشفوا مجموعتنا الممتعة والأنيقة للأطفال مع  و . 🌞👒  Hello, summer! Explore our fun and stylish kids collection with  and  🌞👒    ",163,"['خدمة توصيل في البحرين سيئ طلبت ملابس من المفترض يتم تسليمها لي امس ولكن السائق يخبرني انه لا يستطيع تسلميها لي بحجة انه جالس مع اصدقائه وخدمة العملاء عندكم غير متوفرة في البحرين هذا اخر تعامل معاكم', 'ردو خاص', 'الحين انا شريت سلسال من عندكم اخر شي يطلع مقطوع ومتلوف !!!!!!!!!!!!', 'تواصلت مع خدمة العملاء مب موجودين في البحرين ويخبروني ان توصيل اليوم مغلق ؟ والاغراض عند سائق في بيته', 'اللبسات كلها لابقة عليكم ❤️', '❤️', '😍', '🔥🔥🔥']","['خدمة توصيل في البحرين سيئ طلبت ملابس من المفترض يتم تسليمها لي امس ولكن السائق يخبرني انه لا يستطيع تسلميها لي بحجة انه جالس مع اصدقائه وخدمة العملاء عندكم غير متوفرة في البحرين هذا اخر تعامل معاكم', 'ردو خاص', 'الحين انا شريت سلسال من عندكم اخر شي يطلع مقطوع ومتلوف !!!!!!!!!!!!', 'تواصلت مع خدمة العملاء مب موجودين في البحرين ويخبروني ان توصيل اليوم مغلق ؟ والاغراض عند سائق في بيته', 'اللبسات كلها لابقة عليكم ❤️', '❤️', '😍', '🔥🔥🔥']"
3391041459140514178,2024-06-15 15:01:13,"نتمنى لكم عيد أضحى مليء بالحب والضحك ولحظات لا تُنسى. عيد مبارك!✨🌙

May your Eid al-Adha be filled with love, laughter, and unforgettable moments. Eid Mubarak!✨🌙

#MyMaxStyle #EidMubarak #Eid2024 #HappyEID","نتمنى لكم عيد أضحى مليء بالحب والضحك ولحظات لا تُنسى. عيد مبارك!✨🌙  May your Eid al-Adha be filled with love, laughter, and unforgettable moments. Eid Mubarak!✨🌙     ",111,"['وش اوقات العمل اليوم وبكره في السعودية؟', 'لو سمحت سيتي ماكس مفتوحه  ثاني ايام العيد في الظهر', 'التوصيل بعد العيد يبتدي متى ؟؟', 'بكرة فاتحين ؟!', 'كيف دوامكم في العيد في آلسعوديه', 'متي تفتح في العيد', 'رد خاص ارسلتلكم', 'فاتحين ولا؟', 'اليوم متى تقفلون']","['وش اوقات العمل اليوم وبكره في السعودية؟', 'لو سمحت سيتي ماكس مفتوحه  ثاني ايام العيد في الظهر', 'التوصيل بعد العيد يبتدي متى ؟؟', 'بكرة فاتحين ؟!', 'كيف دوامكم في العيد في آلسعوديه', 'متي تفتح في العيد', 'رد خاص ارسلتلكم', 'فاتحين ولا؟', 'اليوم متى تقفلون']"
3390920185546680948,2024-06-15 11:00:13,"اتركيهم ينطلقون بأناقة مع ملابس الصيف المثالية! 🏃‍♂️🌞👕

Running wild in the perfect summer outfit! 🏃‍♂️🌞👕

#MyMaxStyle #kidsFashion #SummerCollection #KidsFashion",اتركيهم ينطلقون بأناقة مع ملابس الصيف المثالية! 🏃‍♂️🌞👕  Running wild in the perfect summer outfit! 🏃‍♂️🌞👕     ,129,"['😍', '👏', 'Tres chic🔥', '❤️❤️❤️❤️❤️']","['😍', '👏', 'Tres chic🔥', '❤️❤️❤️❤️❤️']"
3390376585461663894,2024-06-14 17:00:10,"رمل، بحر، وصنادل أنيقة، هي مكونات طفلك المثالية ليوم صيفي رائع. 🌞👟

Sand, sea, and stylish slippers. Perfect ingredients for a summer day. 🌞👟

#MyMaxStyle #KidsFashion #SummerSlippers
#SummerFun","رمل، بحر، وصنادل أنيقة، هي مكونات طفلك المثالية ليوم صيفي رائع. 🌞👟  Sand, sea, and stylish slippers. Perfect ingredients for a summer day. 🌞👟     ",99,"['😍😍😍', 'They are thieves in there store more then 50 ladies complain they have group of ladies who silently open ur bags n out wallet and take money and when u ask them for cctv the ladies say go go no help all the staff is involved in this group fake thief', '❤️❤️❤️❤️❤️❤️❤️', '😍😍😍']","['😍😍😍', 'They are thieves in there store more then  ladies complain they have group of ladies who silently open ur bags n out wallet and take money and when u ask them for cctv the ladies say go go no help all the staff is involved in this group fake thief', '❤️❤️❤️❤️❤️❤️❤️', '😍😍😍']"
3390286026436702916,2024-06-14 14:00:12,"هذا الصيف، دع طفلك يسطع ويشرق بأناقة لا مثيل لها! 🏖️🔆

It's time for the little one to shine brighter than the sun this summer🏖️🔆!

#MyMaxStyle #KidsFashion #SummerFun #CoolForTheummer #MiniStyle #MiniFashionistas #StyleInspo",هذا الصيف، دع طفلك يسطع ويشرق بأناقة لا مثيل لها! 🏖️🔆  Its time for the little one to shine brighter than the sun this summer🏖️🔆!        ,213,['So stylish! 🔥'],['So stylish! 🔥']
3389651815022891708,2024-06-13 17:00:11,"الأناقة، الحرية، والراحة هي شعارنا هذا الصيف 😎✨

Hip, free and relaxed is the way to go this summer😎✨

#MyMaxStyle #TeenFashion #SummerCollection #MiniFashionistas #StyleInspo","الأناقة، الحرية، والراحة هي شعارنا هذا الصيف 😎✨  Hip, free and relaxed is the way to go this summer😎✨      ",87,"['هل عروض الموقع نفسها الي بالفروع؟', 'من يومين ونص طالبه من الموقع وتكتبون توصيل اليوم واليوم من يومين ولا تم التوصيل؟؟؟', '❤️❤️', '❤️❤️❤️']","['هل عروض الموقع نفسها الي بالفروع؟', 'من يومين ونص طالبه من الموقع وتكتبون توصيل اليوم واليوم من يومين ولا تم التوصيل؟؟؟', '❤️❤️', '❤️❤️❤️']"
3389590860325875877,2024-06-13 14:59:00,"🌻وين مسافرين هاد الصيف؟
How cute are these colourful evening dresses from @maxfashionmena new kids’ summer collection? 🌈👗✨ 
Perfect for making every summer special!

#MaxFashion #SummerCollection #MyMaxStyle #KidsFashion",🌻وين مسافرين هاد الصيف؟ How cute are these colourful evening dresses from  new kids’ summer collection? 🌈👗✨  Perfect for making every summer special!     ,26293,"['اراك بعيني قلبي جنه ، يا من بقربك مر الحياه يطيب ، و ارى الحياه بدون وصلك مره ، و ارى جروحي ما لهن طبيب ، و ارى الغروب اذا التقينا متعه ، و ارى الشروق لدى الفراق غروب ❤️', '😍😍😍😍😍', 'احنا من سافر ع اابلكونه 🔥🔥', 'لا مسافرين ولا طلعين في البيت  جالسين', 'مسافرين في الشقه 😂', 'قمر مصور 🔥🔥', 'منورين+حلوين❤💜💚💙💛', 'اموت فيكي أنا من فانزاتك تابعيني ميمي', 'مسافرين ع المطبخ💗💗💗', 'تجننننن', 'بسافر عل أردن إن شاء الله انا  أردنية. هذا الشهر مسافره عل أردن إن شاء الله. 🇯🇴\U0001faf6🏻✨', 'لحضة ادراك فستان ميرا متل فستان اختي 😭😭', '😍😍😍😍😍', 'احلى مودللز🔥', 'نحنا بسوريا ما منسافر لنصيف من عند الله مصيفين', 'أنا مسافرة اول شي عالمطبح بقضي يوم هنيك لأنو حكولي انو شوب كتير هونيك و بعدين رح قضي اسبوع بالغرفة بعدين رح آخذ قطار يوصلني الصالون عشان حكولي انو الجو هونيك بيجنن و الفعاليات نااار و بس هذا اللي قررتو لهلا ممكن غير نقص أو زيد 😂', 'واو تجنني اكتير احبك', 'ميرااا احبك وبموت فيكي', 'لفيوو ميمي', 'الاردن', 'تجننون الله يحفظكم❤️', 'يعمري كياتة', 'ميرا ضلك نزلي فيديوهات بنشتاق لك❤️', 'جـمالكم يخليكم لبعـض🦋.', '😍😍😍', 'الاردن مغرب', 'شهلجمالشهلجمال ❤️❤️', 'تجننننن', '🔥🔥', 'Wow 🔥', 'قمرين❤️❤️', '🔥🔥❤️❤️', 'منورين ❤️', '❤️❤️', '👏👏👏❤️', '❤️❤️❤️', '😍😍', '❤️❤️\U0001f979', '❤️❤️❤️❤️❤️❤️❤️', 'ظ', 'مكيتهم 😍', '❤️❤️❤️❤️❤️', '❤️❤️❤️❤️', '❤️❤️❤️❤️❤️❤️', '💗💗💗', '❤️❤️❤️❤️', '😍😍', '💛💗❤️', '🔥👏😍😍', '❤️❤️❤️', 'بتجننوا', 'جمالهم', 'عسللل🔥', 'مكيتهم ❤️', 'ما شاء الله 😍', 'Woww', 'واو 💗🩹 مشاء الله 🙌', 'احلى مودلل ز🔥', 'Wooooow🔥❤️', 'جمال بنات الاردن ما شاء الله 🤍🤍\U0001f979', 'احبك ❤️', ""I'm proud of them ❤️"", 'جمالكم😍', '💗', 'قمرات', 'تجننون\U0001f979💋', '😍😍😍😍', 'ما شاء الله 🔥', 'بحب ميرا ولولو 👏🔥❤️', 'ميرا العسل ❤️🔥', 'احلى مودل 👏🔥', 'تنويه للذين عليهم ديون كبيره للبنوك والمؤسسات وللغير قادرين على مصاريف العلاجات ومنح دراسية للطلبه الجامعيين والمحتاجين لبناء البيوت وحفظكم الله شعبآ وارضآ🌹', 'فدوا حبايب تججننون❤️', 'بس بليز ردي الاضافه', 'بليز ميمي ردي عليا انا اموت عليكي', 'ما أحلاكم 😍😍😍', 'نحنا مسافرين إلى اسبانيا❤️', 'مين يتفق معي انا ميرا ترتدي هاذا البس في العيد❤️🔥🙌', 'فخورة فيكي❤️❤️❤️', '❤️❤️', 'I love you both \U0001faf6✨.', 'الحلوات 🤍🤍', 'الام وبنتها 💗', '😍', '😍😍😍', 'القالب غالب❤️❤️', '🙌مسافرين 💗 الى ❤️فرنسا', 'جمال 💗', 'بلبيت🕊🥲', 'ميرا ممكن اعرف ليش يشبهوني بيج بس انفي يختلف عنج بس ليش يشبهوني بيج...؟ تخيلي حتى نفس عمري اني عمري 13 وانتي هم 💗+ احبج من العراق', 'حبيبتي بتجنني لا تهتمي لكلام الناس💗💗💗😍😍😍😍❤️', 'Wow ❤️', 'بحبك❤️', 'مسافرة للبيت', '❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️🔥', 'my loves ❤️', 'على الولايات المتحدة المنزلية 😍', 'البس صغير عليها وهيا كبيره', 'مشاء الله كبرة اختك اصغير🥰', 'من المطبخ ع البيت 😢']","['اراك بعيني قلبي جنه ، يا من بقربك مر الحياه يطيب ، و ارى الحياه بدون وصلك مره ، و ارى جروحي ما لهن طبيب ، و ارى الغروب اذا التقينا متعه ، و ارى الشروق لدى الفراق غروب ❤️', '😍😍😍😍😍', 'احنا من سافر ع اابلكونه 🔥🔥', 'لا مسافرين ولا طلعين في البيت  جالسين', 'مسافرين في الشقه 😂', 'قمر مصور 🔥🔥', 'منورين+حلوين❤💜💚💙💛', 'اموت فيكي أنا من فانزاتك تابعيني ميمي', 'مسافرين ع المطبخ💗💗💗', 'تجننننن', 'بسافر عل أردن إن شاء الله انا  أردنية. هذا الشهر مسافره عل أردن إن شاء الله. 🇯🇴\U0001faf6🏻✨', 'لحضة ادراك فستان ميرا متل فستان اختي 😭😭', '😍😍😍😍😍', 'احلى مودللز🔥', 'نحنا بسوريا ما منسافر لنصيف من عند الله مصيفين', 'أنا مسافرة اول شي عالمطبح بقضي يوم هنيك لأنو حكولي انو شوب كتير هونيك و بعدين رح قضي اسبوع بالغرفة بعدين رح آخذ قطار يوصلني الصالون عشان حكولي انو الجو هونيك بيجنن و الفعاليات نااار و بس هذا اللي قررتو لهلا ممكن غير نقص أو زيد 😂', 'واو تجنني اكتير احبك', 'ميرااا احبك وبموت فيكي', 'لفيوو ميمي', 'الاردن', 'تجننون الله يحفظكم❤️', 'يعمري كياتة', 'ميرا ضلك نزلي فيديوهات بنشتاق لك❤️', 'جـمالكم يخليكم لبعـض🦋.', '😍😍😍', 'الاردن مغرب', 'شهلجمالشهلجمال ❤️❤️', 'تجننننن', '🔥🔥', 'Wow 🔥', 'قمرين❤️❤️', '🔥🔥❤️❤️', 'منورين ❤️', '❤️❤️', '👏👏👏❤️', '❤️❤️❤️', '😍😍', '❤️❤️\U0001f979', '❤️❤️❤️❤️❤️❤️❤️', 'ظ', 'مكيتهم 😍', '❤️❤️❤️❤️❤️', '❤️❤️❤️❤️', '❤️❤️❤️❤️❤️❤️', '💗💗💗', '❤️❤️❤️❤️', '😍😍', '💛💗❤️', '🔥👏😍😍', '❤️❤️❤️', 'بتجننوا', 'جمالهم', 'عسللل🔥', 'مكيتهم ❤️', 'ما شاء الله 😍', 'Woww', 'واو 💗🩹 مشاء الله 🙌', 'احلى مودلل ز🔥', 'Wooooow🔥❤️', 'جمال بنات الاردن ما شاء الله 🤍🤍\U0001f979', 'احبك ❤️', 'Im proud of them ❤️', 'جمالكم😍', '💗', 'قمرات', 'تجننون\U0001f979💋', '😍😍😍😍', 'ما شاء الله 🔥', 'بحب ميرا ولولو 👏🔥❤️', 'ميرا العسل ❤️🔥', 'احلى مودل 👏🔥', 'تنويه للذين عليهم ديون كبيره للبنوك والمؤسسات وللغير قادرين على مصاريف العلاجات ومنح دراسية للطلبه الجامعيين والمحتاجين لبناء البيوت وحفظكم الله شعبآ وارضآ🌹', 'فدوا حبايب تججننون❤️', 'بس بليز ردي الاضافه', 'بليز ميمي ردي عليا انا اموت عليكي', 'ما أحلاكم 😍😍😍', 'نحنا مسافرين إلى اسبانيا❤️', 'مين يتفق معي انا ميرا ترتدي هاذا البس في العيد❤️🔥🙌', 'فخورة فيكي❤️❤️❤️', '❤️❤️', 'I love you both \U0001faf6✨.', 'الحلوات 🤍🤍', 'الام وبنتها 💗', '😍', '😍😍😍', 'القالب غالب❤️❤️', '🙌مسافرين 💗 الى ❤️فرنسا', 'جمال 💗', 'بلبيت🕊🥲', 'ميرا ممكن اعرف ليش يشبهوني بيج بس انفي يختلف عنج بس ليش يشبهوني بيج...؟ تخيلي حتى نفس عمري اني عمري  وانتي هم 💗+ احبج من العراق', 'حبيبتي بتجنني لا تهتمي لكلام الناس💗💗💗😍😍😍😍❤️', 'Wow ❤️', 'بحبك❤️', 'مسافرة للبيت', '❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️🔥', 'my loves ❤️', 'على الولايات المتحدة المنزلية 😍', 'البس صغير عليها وهيا كبيره', 'مشاء الله كبرة اختك اصغير🥰', 'من المطبخ ع البيت 😢']"
3389470644133808901,2024-06-13 11:00:15,"أزياء صيفية ملونة وأنيقة لاميرتك الصغيرة! 🌈👗✨

Colorful and chic summer outfits for your little sunshine! 🌈👗✨

#MyMaxStyle ##KidsFashion #SummerStyle #FashionForKids #StylishKids #LittleTrendsetter #CuteOutfits #NewCollection #SummerFun",أزياء صيفية ملونة وأنيقة لاميرتك الصغيرة! 🌈👗✨  Colorful and chic summer outfits for your little sunshine! 🌈👗✨   #       ,142,['❤️❤️'],['❤️❤️']
3388927022379545506,2024-06-12 17:00:09,"ألوان حيوية، لوازم ترفيهية ممتعة، وفرح صيفي لا يُضاهى! ☀️👗🍉

Colorful dress, summer vibes, and endless summer joy! 🌞👗🍉 

#MyMaxStyle #KidsFashion  #FashionForKids #SummerVibes","ألوان حيوية، لوازم ترفيهية ممتعة، وفرح صيفي لا يُضاهى! ☀️👗🍉  Colorful dress, summer vibes, and endless summer joy! 🌞👗🍉       ",4559,"['اوقات الدوام في ايام الحج والعيد إلى متى', '😆😆😆😆😆😆😆', '😏😏😏🌺🌺🌺🌺🌺🌺', '❤️❤️❤️❤️', 'اللهُم أرويّ ظمئنا من حوض نبيك اللهم بيوم الترويه اروي قبور موتانا وأبي  بسحائب مغفرتك و رحمتك،وبلل عطش أرواحهم من أنهار جنّاتك❤️✨.', 'Nice', '❤️❤️', '🔝😍🔝']","['اوقات الدوام في ايام الحج والعيد إلى متى', '😆😆😆😆😆😆😆', '😏😏😏🌺🌺🌺🌺🌺🌺', '❤️❤️❤️❤️', 'اللهُم أرويّ ظمئنا من حوض نبيك اللهم بيوم الترويه اروي قبور موتانا وأبي  بسحائب مغفرتك و رحمتك،وبلل عطش أرواحهم من أنهار جنّاتك❤️✨.', 'Nice', '❤️❤️', '🔝😍🔝']"
3388839519091040479,2024-06-12 14:06:18,"جاهزون لمغامرات الصيف مع ملابس أطفالنا الأنيقة والمريحة! ☀️👕🩳

Cute, comfy, and ready for summer adventures. Discover our kids' clothing line! ☀️👕🩳 

#MyMaxStyle #KidsFashion #FashionForwardKids #MiniStyle  #SummerVibes","جاهزون لمغامرات الصيف مع ملابس أطفالنا الأنيقة والمريحة! ☀️👕🩳  Cute, comfy, and ready for summer adventures. Discover our kids clothing line! ☀️👕🩳        ",107,"['❤️', '😍😍']","['❤️', '😍😍']"
3388745840611504449,2024-06-12 11:00:11,"تألقي باللون الوردي واستعدي للمعان! 🌸😎

Pretty in pink and ready to shine! 🌸😎 

#MyMaxStyle #KidsFashion #MiniStyle #SummerStyle",تألقي باللون الوردي واستعدي للمعان! 🌸😎  Pretty in pink and ready to shine! 🌸😎      ,4356,"['😍😍😍😍', '❤️❤️', 'That’s my gal @evajoan2023 💕', '❤️❤️❤️❤️']","['😍😍😍😍', '❤️❤️', 'That’s my gal  💕', '❤️❤️❤️❤️']"
